"","Participant","Hours_In_Study","Total_16S","Lactobacillus_crispatus","Lactobacillus_jensenii","Lactobacillus_iners","Gardnerella_vaginalis","Megasphaera","BVAB2","Atopobium_vaginae"
"1807",6,405,6.54e+09,7.08e+08,1.99e+08,3.57e+09,201,93.8,93.8,93.8
"1809",6,428,1.1e+09,1.51e+08,37500000,5.17e+08,93.8,93.8,93.8,348
"1812",6,447,3.05e+09,5.04e+08,99300000,2.42e+09,93.8,93.8,93.8,219
"1815",6,472,1.02e+10,1.73e+09,2.32e+08,7.35e+09,93.8,93.8,93.8,1030
"1818",6,495,1.47e+09,3.6e+08,38900000,9.02e+08,280,93.8,93.8,923
"1821",6,520,2.09e+09,6.05e+08,20600000,9.35e+08,93.8,93.8,93.8,2940
"1824",6,545,3.81e+09,1.02e+09,45700000,1.73e+09,93.8,93.8,93.8,293
"1827",6,569,9.49e+09,3.99e+09,1.02e+08,4.12e+09,93.8,93.8,93.8,93.8
"1830",6,595,3.41e+08,7200000,10200000,3.41e+08,594,93.8,93.8,93.8
"1833",6,617,21400000,366000,429000,21200000,93.8,93.8,93.8,93.8
"1835",6,632,4.66e+09,2.4e+08,58700000,2.82e+09,25300,93.8,93.8,93.8
"1838",6,664,2.06e+10,7.97e+08,2.4e+08,1.37e+10,55800,93.8,93.8,93.8
"1841",6,690,8.02e+08,93200000,1.7e+07,7.2e+08,135000,93.8,93.8,93.8
"1844",6,715,1.47e+09,3.75e+08,37700000,1.09e+09,2160000,93.8,93.8,93.8
"1847",6,737,8.62e+09,2.2e+09,1.76e+08,6.11e+09,7800000,93.8,93.8,93.8
"1850",6,760,1.19e+09,4.55e+08,16700000,6.46e+08,4050000,93.8,93.8,93.8
"1853",6,788,2.09e+09,9.66e+08,30200000,8.34e+08,1220000,93.8,93.8,93.8
"1856",6,808,1.79e+10,3.13e+09,1.55e+08,5.56e+09,905000,93.8,93.8,93.8
"1859",6,833,9.1e+09,4.78e+09,81700000,3.58e+09,476000,93.8,93.8,93.8
"1861",6,858,3.86e+09,4e+08,24300000,2.47e+09,819000,93.8,93.8,2190
"1864",6,884,3.11e+09,3.6e+07,5150000,4.64e+08,3.56e+08,93.8,93.8,57600000
"1867",6,905,1.06e+10,1.17e+08,12800000,1.9e+09,9.35e+08,93.8,93.8,2.3e+07
"1870",6,921,6.97e+08,26100000,2340000,1.61e+08,68500000,93.8,93.8,11600000
"1873",6,956,1.66e+10,5.98e+08,66700000,5.47e+09,1.34e+09,93.8,93.8,2.09e+08
"1876",6,973,1.69e+10,3.21e+08,34700000,3.45e+09,2.11e+09,93.8,93.8,5.15e+08
"1879",6,1009,1.08e+10,8.08e+08,42400000,6.2e+09,1.18e+08,93.8,93.8,26800000
"1881",6,1024,2.06e+09,3.1e+08,15400000,1.52e+09,14600000,93.8,93.8,2860000
"1884",6,1048,6.46e+08,1.72e+08,5470000,3.01e+08,262000,93.8,93.8,45800
"1887",6,1072,9.1e+09,3.83e+09,8.5e+07,5.27e+09,2090000,93.8,93.8,91600
"1889",6,1099,3.27e+09,2.5e+09,25700000,7.74e+08,142000,93.8,93.8,4860
"1892",6,1115,9.55e+08,7.27e+08,9950000,1.9e+08,116000,93.8,93.8,1770
"1894",6,1146,3.93e+08,5.48e+08,4810000,46900000,21500,93.8,93.8,305
"1897",6,1168,6.91e+09,7.35e+09,42200000,3.95e+08,266000,93.8,93.8,437
"1900",6,1193,3.52e+09,2.32e+09,4.1e+07,75700000,6810,93.8,93.8,93.8
"1903",6,1226,8.91e+08,6.25e+08,8970000,23400000,5080,93.8,93.8,93.8
"1905",6,1240,3.01e+09,2.56e+09,32600000,1.08e+08,9470,93.8,93.8,93.8
"1906",6,1268,4.23e+09,5.5e+09,86800000,3.02e+08,4320,93.8,93.8,93.8
"1912",6,1312,4.66e+09,4.85e+09,65300000,4.47e+08,1910,93.8,93.8,93.8
"1915",6,1336,8.05e+09,6.29e+09,1.13e+08,1.37e+09,1580,93.8,93.8,93.8
"1446",7,0,1.03e+10,1.51e+10,62600000,2660000,532000,93.8,93.8,93.8
"1447",7,25,3.72e+09,1.8e+10,41200000,5410000,1230000,93.8,93.8,93.8
"1450",7,50,4.42e+09,6.02e+09,15500000,13500000,218000,93.8,93.8,93.8
"1453",7,69,5.99e+09,7.25e+09,30700000,8420000,426000,93.8,93.8,93.8
"1456",7,95,5.64e+09,6.14e+09,16100000,4420000,186000,93.8,93.8,93.8
"1459",7,119,4.61e+09,6.95e+09,1.3e+07,6280000,260000,93.8,93.8,93.8
"1462",7,143,5.49e+09,5.81e+09,14900000,780000,379000,93.8,93.8,93.8
"1465",7,168,2.57e+09,2.83e+09,8470000,1520000,330000,93.8,93.8,93.8
"1468",7,191,2.26e+09,1.95e+09,30600000,7460000,8470000,52600,2580,71900
"1471",7,218,1.03e+10,2.91e+09,1.55e+08,5.17e+08,1.1e+09,93.8,689,626000
"1474",7,242,6.54e+09,7.1e+08,50200000,4.78e+08,1.31e+09,730000,228,3940000
"1477",7,262,2.93e+10,4.71e+09,2.61e+08,1.14e+09,3.28e+09,1.18e+09,1710,99100000
"1480",7,286,5.22e+10,2.8e+08,2990000,5.73e+08,3.99e+09,3.81e+09,23800000,6.26e+08
"1483",7,312,1.14e+11,8230000,132000,1.26e+08,1.47e+09,2.07e+09,1.53e+08,2.18e+09
"1486",7,342,2.51e+09,26900000,69200,4.48e+08,5.77e+08,33800000,3200000,3.18e+08
"1489",7,361,1.69e+10,3.65e+08,2660000,3.79e+09,5.55e+08,2.4e+07,70400,94300000
"1492",7,386,5.4e+09,5.59e+08,3570000,1.29e+09,23200000,20300000,2810,2450000
"1495",7,405,1.24e+10,1.98e+09,16200000,2.96e+09,15400000,2.98e+08,684,1210000
"1498",7,429,6.14e+09,1.87e+09,12700000,1.05e+09,26300000,1.5e+08,93.8,1370000
"1501",7,453,5.45e+09,3.28e+09,16300000,1.13e+09,1.41e+08,3.15e+08,93.8,4470000
"1504",7,477,7.24e+09,3.95e+09,11900000,4.94e+08,99700000,2.2e+08,18400,20700000
"1507",7,501,8.96e+09,3.7e+09,14900000,8.99e+08,5.57e+08,7.98e+08,1230000,1.46e+08
"1510",7,526,5.44e+09,2.19e+09,11500000,84300000,1.6e+08,8.8e+07,426000,19600000
"1513",7,554,8.98e+09,3.31e+09,18500000,4.52e+08,5.88e+08,2.04e+08,2820000,58500000
"1516",7,574,8.19e+09,3.83e+09,36200000,3.81e+08,2.55e+08,1.62e+08,164000,20800000
"1519",7,599,1.05e+10,5.45e+09,27500000,7.22e+08,2.51e+08,1.31e+08,88100,11200000
"1522",7,621,9.35e+09,2.98e+09,34700000,4.23e+08,2.71e+08,1.5e+08,127000,1.3e+07
"1524",7,645,1.43e+10,2.56e+09,3.9e+07,4.12e+08,1.55e+09,6.09e+08,3160000,1.85e+08
"1527",7,669,2.7e+10,2.23e+09,33100000,2.78e+08,1.35e+09,1.52e+09,10700000,1.03e+08
"1530",7,696,8.81e+09,1.5e+09,30700000,55100000,5.35e+08,2e+08,6200000,32200000
"1533",7,728,3.77e+09,17500000,3500000,66300000,1.91e+08,17800000,19500,1.6e+07
"1536",7,743,1.97e+10,65600000,8260000,1.6e+09,2.18e+09,1.16e+09,66400,91600000
"1539",7,767,5.97e+10,2.1e+07,431000,1.59e+09,7.56e+09,3.15e+09,23200000,6.88e+08
"1542",7,789,4.07e+10,56700,93.8,73700000,4.23e+09,8.07e+08,5.3e+07,5.19e+08
"1545",7,815,5.16e+10,31000,93.8,35900000,4.45e+09,1.32e+09,1.31e+08,4.87e+08
"1548",7,841,4.88e+09,5190,1540,1420000,1.16e+09,25100000,738000,1.16e+08
